rank,date,original_transfer_date,date_note,season,club,player,direction,transfer_type,transfer_quality,rumor_count,max_rumor_strength,observed_car_m1_p1,observed_label,heuristic_predicted_car,heuristic_label,confidence,interpretation
11,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Federico Gatti,out,loan,0.67,0,,0.101436,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
12,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Mohamed Ihattaren,out,loan,0.67,0,,0.101436,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
13,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Radu Dragusin,out,loan,0.67,0,,0.101436,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
14,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,Juventus FC,Rodrigo Bentancur,out,permanent,0.67,0,,0.101436,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
15,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,Manchester United,Amad Diallo,out,loan,0.67,0,,0.029213,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
16,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,Manchester United,Anthony Martial,out,loan,0.67,0,,0.029213,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
17,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,Manchester United,Axel Tuanzebe,out,loan,0.67,0,,0.029213,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
18,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,Manchester United,Donny van de Beek,out,loan,0.67,0,,0.029213,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
19,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,Manchester United,Teden Mengi,out,loan,0.67,0,,0.029213,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
20,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Salih Özcan,in,permanent,0.775,0,,0.029094,positive,0.0165,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
21,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Nico Schlotterbeck,in,permanent,0.725,0,,0.029094,positive,0.0135,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
22,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Niklas Süle,in,permanent,0.725,0,,0.029094,positive,0.0135,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
23,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Marcel Lotka,in,permanent,0.7,0,,0.029094,positive,0.012,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
24,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Axel Witsel,out,permanent,0.775,0,,0.029094,positive,0.0107,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
25,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Marcel Schmelzer,out,permanent,0.775,0,,0.029094,positive,0.0107,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
26,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Marwin Hitz,out,permanent,0.775,0,,0.029094,positive,0.0107,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
27,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Karim Adeyemi,in,permanent,0.675,0,,0.029094,positive,0.0105,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
28,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Roman Bürki,out,permanent,0.77,0,,0.029094,positive,0.0105,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
29,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Sébastien Haller,in,permanent,0.675,0,,0.029094,positive,0.0105,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
30,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Dan-Axel Zagadou,out,permanent,0.67,0,,0.029094,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
31,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Erling Haaland,out,permanent,0.67,0,,0.029094,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
32,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Manuel Akanji,out,permanent,0.67,0,,0.029094,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
33,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Marin Pongracic,out,loan,0.67,0,,0.029094,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
34,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Reinier,out,loan,0.67,0,,0.029094,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
35,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Steffen Tigges,out,permanent,0.67,0,,0.029094,positive,0.0066,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
36,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Alexander Meyer,in,permanent,0.6,0,,0.029094,positive,0.006,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
37,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Jamie Bynoe-Gittens,in,permanent,0.6,0,,0.029094,positive,0.006,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
38,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Tom Rothe,in,permanent,0.6,0,,0.029094,positive,0.006,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
39,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Anthony Modeste,in,permanent,0.525,0,,0.029094,positive,0.0015,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
40,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Toma Basic,in,permanent,0.775,0,,-0.026216,negative,0.0165,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
41,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Mattia Zaccagni,in,loan,0.725,0,,-0.026216,negative,0.0135,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
42,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Elseid Hysaj,in,permanent,0.7,0,,-0.026216,negative,0.012,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
43,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Felipe Caicedo,out,permanent,0.775,0,,-0.026216,negative,0.0107,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
44,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Marco Parolo,out,permanent,0.775,0,,-0.026216,negative,0.0107,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
45,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Senad Lulic,out,permanent,0.775,0,,-0.026216,negative,0.0107,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
46,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Dimitrije Kamenovic,in,permanent,0.675,0,,-0.026216,negative,0.0105,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
47,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Felipe Anderson,in,permanent,0.675,0,,-0.026216,negative,0.0105,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
48,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Mateo Musacchio,out,permanent,0.745,0,,-0.026216,negative,0.0096,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
49,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Raúl Moro,in,permanent,0.625,0,,-0.026216,negative,0.0075,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
50,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Abukar Mohamed,out,permanent,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
51,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Andreas Pereira,out,loan,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
52,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Biagio Morrone,out,loan,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
53,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Cedric Gondo,out,permanent,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
54,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Djavan Anderson,out,loan,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
55,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Emanuele Cicerelli,out,loan,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
56,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Fabio Maistro,out,loan,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
57,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Joaquín Correa,out,loan,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
58,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Joseph Marie Minala,out,permanent,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
59,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Marco Alia,out,loan,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
60,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Mohamed Fares,out,loan,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
61,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Nicolò Armini,out,loan,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
62,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Nikolaos Baxevanos,out,permanent,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
63,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Sergio Kalaj,out,permanent,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
64,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Simone Palombi,out,permanent,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
65,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Sofian Kiyine,out,loan,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
66,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Tiago Casasola,out,loan,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
67,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Wesley Hoedt,out,loan,0.67,0,,-0.026216,negative,0.0066,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
68,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Luka Romero,in,permanent,0.575,0,,-0.026216,negative,0.0045,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
69,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Pedro,in,permanent,0.525,0,,-0.026216,negative,0.0015,neutral,0.575,Observed negative abnormal return; heuristic says neutral; 0 matched rumor/news rows.
70,2024-01-12,2024-01-12,exact or source-provided date,2023-24,Manchester United,Jadon Sancho,out,loan,0.3995,0,,0.021853,positive,-0.0039,neutral,0.575,Observed positive abnormal return; heuristic says neutral; 0 matched rumor/news rows.
71,2022-07-20,2022-07-20,exact or source-provided date,2022-23,Juventus,Matthijs de Ligt,out,permanent,0.6044,0,,-0.018332,neutral,0.0041,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
72,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Axel Tuanzebe,in,loan,0.775,0,,-0.018086,neutral,0.0165,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
73,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Lisandro Martínez,in,permanent,0.775,0,,-0.018086,neutral,0.0165,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
74,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Andreas Pereira,in,loan,0.725,0,,-0.018086,neutral,0.0135,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
75,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Anthony Martial,in,loan,0.725,0,,-0.018086,neutral,0.0135,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
76,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Antony,in,permanent,0.725,0,,-0.018086,neutral,0.0135,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
77,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Dean Henderson,in,loan,0.725,0,,-0.018086,neutral,0.0135,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
78,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Tyrell Malacia,in,permanent,0.725,0,,-0.018086,neutral,0.0135,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
79,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Edinson Cavani,out,permanent,0.775,0,,-0.018086,neutral,0.0107,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
80,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Juan Mata,out,permanent,0.775,0,,-0.018086,neutral,0.0107,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
81,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Lee Grant,out,permanent,0.775,0,,-0.018086,neutral,0.0107,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
82,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Nemanja Matić,out,permanent,0.775,0,,-0.018086,neutral,0.0107,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
83,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Amad Diallo,in,loan,0.675,0,,-0.018086,neutral,0.0105,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
84,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Facundo Pellistri,in,loan,0.675,0,,-0.018086,neutral,0.0105,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
85,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Hannibal Mejbri,in,loan,0.675,0,,-0.018086,neutral,0.0105,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
86,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Álvaro Fernandez,in,loan,0.675,0,,-0.018086,neutral,0.0105,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
87,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Hannibal Mejbri,in,permanent,0.65,0,,-0.018086,neutral,0.009,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
88,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Álvaro Fernandez,in,permanent,0.65,0,,-0.018086,neutral,0.009,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
89,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Alex Telles,out,loan,0.72,0,,-0.018086,neutral,0.0086,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
90,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Jesse Lingard,out,permanent,0.72,0,,-0.018086,neutral,0.0086,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
91,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Paul Pogba,out,permanent,0.72,0,,-0.018086,neutral,0.0086,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
92,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Eric Bailly,out,loan,0.695,0,,-0.018086,neutral,0.0076,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
93,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Alejandro Garnacho,in,permanent,0.625,0,,-0.018086,neutral,0.0075,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
94,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Casemiro,in,permanent,0.625,0,,-0.018086,neutral,0.0075,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
95,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Christian Eriksen,in,permanent,0.625,0,,-0.018086,neutral,0.0075,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
96,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Amad Diallo,out,loan,0.67,0,,-0.018086,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
97,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Andreas Pereira,out,permanent,0.67,0,,-0.018086,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
98,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Dean Henderson,out,loan,0.67,0,,-0.018086,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
99,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Hannibal Mejbri,out,loan,0.67,0,,-0.018086,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
100,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Tahith Chong,out,permanent,0.67,0,,-0.018086,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
101,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Álvaro Fernandez,out,loan,0.67,0,,-0.018086,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
102,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Manchester United,Martin Dúbravka,in,loan,0.55,0,,-0.018086,neutral,0.003,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
103,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Federico Chiesa,in,permanent,0.775,0,,0.014399,neutral,0.0165,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
104,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Bremer,in,permanent,0.75,0,,0.014399,neutral,0.015,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
105,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Andrea Cambiaso,in,permanent,0.725,0,,0.014399,neutral,0.0135,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
106,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Giorgio Chiellini,out,permanent,0.775,0,,0.014399,neutral,0.0107,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
107,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Aaron Ramsey,out,permanent,0.77,0,,0.014399,neutral,0.0105,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
108,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Arkadiusz Milik,in,loan,0.675,0,,0.014399,neutral,0.0105,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
109,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Douglas Costa,out,permanent,0.77,0,,0.014399,neutral,0.0105,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
110,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Leandro Paredes,in,loan,0.675,0,,0.014399,neutral,0.0105,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
111,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Filip Kostic,in,permanent,0.65,0,,0.014399,neutral,0.009,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
112,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Matías Soulé,in,permanent,0.65,0,,0.014399,neutral,0.009,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
113,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Paul Pogba,in,permanent,0.65,0,,0.014399,neutral,0.009,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
114,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Álvaro Morata,out,loan,0.72,0,,0.014399,neutral,0.0086,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
