rank,date,original_transfer_date,date_note,season,club,player,direction,transfer_type,transfer_quality,rumor_count,max_rumor_strength,observed_car_m1_p1,observed_label,heuristic_predicted_car,heuristic_label,confidence,interpretation
14,2022-01-31,,exact or source-provided date,2021-22,Juventus,Dušan Vlahović,in,permanent,0.6755,1,0.686,-0.028485,negative,0.0198,neutral,0.6587,Observed negative abnormal return; heuristic says neutral; 1 matched rumor/news rows.
15,2024-07-18,,exact or source-provided date,2024-25,Manchester United,Leny Yoro,in,permanent,0.571,1,0.675,-0.027537,negative,0.013,neutral,0.6538,Observed negative abnormal return; heuristic says neutral; 1 matched rumor/news rows.
16,2024-07-18,,exact or source-provided date,2024-25,Manchester United,Leny Yoro,in,permanent,0.571,1,0.465,-0.027537,negative,0.0025,neutral,0.5593,Observed negative abnormal return; heuristic says neutral; 1 matched rumor/news rows.
17,2022-09-01,,exact or source-provided date,2022-23,Manchester United,Antony,in,permanent,0.5,1,0.686,0.025905,positive,0.0093,neutral,0.6587,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
18,2023-07-14,,exact or source-provided date,2023-24,Manchester United,André Onana,in,permanent,0.6023,1,0.7575,0.025313,positive,0.019,neutral,0.6909,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
19,2023-07-14,,exact or source-provided date,2023-24,Manchester United,André Onana,in,permanent,0.6023,1,0.465,0.025313,positive,0.0044,neutral,0.5593,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
20,2022-07-05,,exact or source-provided date,2022-23,Juventus,Matthijs de Ligt,out,permanent,0.6604,1,0.465,0.024903,positive,0.0045,neutral,0.5593,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
21,2023-07-17,,exact or source-provided date,2023-24,Manchester United,André Onana,in,permanent,0.6023,1,0.7575,0.024344,positive,0.019,neutral,0.6909,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
22,2025-06-11,,exact or source-provided date,2025-26,Borussia Dortmund,Jamie Gittens,out,permanent,0.697,1,0.465,-0.023022,negative,0.0059,neutral,0.5593,Observed negative abnormal return; heuristic says neutral; 1 matched rumor/news rows.
23,2023-06-14,,exact or source-provided date,2023-24,Borussia Dortmund,Jude Bellingham,out,permanent,0.6831,1,0.686,0.021127,positive,0.0164,neutral,0.6587,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
24,2023-06-14,,exact or source-provided date,2023-24,Borussia Dortmund,Jude Bellingham,out,permanent,0.6831,1,0.465,0.021127,positive,0.0054,neutral,0.5593,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
25,2025-06-01,,exact or source-provided date,2025-26,Manchester United,Matheus Cunha,in,permanent,0.6717,1,0.465,0.020295,positive,0.0086,neutral,0.5593,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
26,2025-06-01,,exact or source-provided date,2025-26,Manchester United,Matheus Cunha,in,permanent,0.6717,1,0.465,0.020295,positive,0.0086,neutral,0.5593,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
27,2025-06-01,,exact or source-provided date,2025-26,Manchester United,Matheus Cunha,in,permanent,0.6717,1,0.465,0.020295,positive,0.0086,neutral,0.5593,Observed positive abnormal return; heuristic says neutral; 1 matched rumor/news rows.
28,2022-07-18,,exact or source-provided date,2022-23,Juventus,Matthijs de Ligt,out,permanent,0.6604,1,0.465,0.019731,neutral,0.0045,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
29,2021-07-23,,exact or source-provided date,2021-22,Borussia Dortmund,Jadon Sancho,out,permanent,0.6362,1,0.686,-0.018006,neutral,0.0146,neutral,0.6587,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
30,2021-07-23,,exact or source-provided date,2021-22,Borussia Dortmund,Jadon Sancho,out,permanent,0.6362,1,0.686,-0.018006,neutral,0.0146,neutral,0.6587,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
31,2022-07-17,,exact or source-provided date,2022-23,Manchester United,Lisandro Martínez,in,permanent,0.5966,1,0.675,0.015876,neutral,0.0145,neutral,0.6538,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
32,2022-07-17,,exact or source-provided date,2022-23,Manchester United,Lisandro Martínez,in,permanent,0.5966,1,0.465,0.015876,neutral,0.004,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
33,2022-08-08,,exact or source-provided date,2022-23,Manchester United,Antony,in,permanent,0.5,1,0.9675,-0.015276,neutral,0.0234,positive,0.7854,Observed neutral abnormal return; heuristic says positive; 1 matched rumor/news rows.
34,2023-06-07,,exact or source-provided date,2023-24,Borussia Dortmund,Jude Bellingham,out,permanent,0.6831,1,0.9675,0.014634,neutral,0.0305,positive,0.7854,Observed neutral abnormal return; heuristic says positive; 1 matched rumor/news rows.
35,2023-06-07,,exact or source-provided date,2023-24,Borussia Dortmund,Jude Bellingham,out,permanent,0.6831,1,0.465,0.014634,neutral,0.0054,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
36,2023-06-22,,exact or source-provided date,2023-24,Borussia Dortmund,Jude Bellingham,out,permanent,0.6831,1,0.686,0.013646,neutral,0.0164,neutral,0.6587,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
37,2022-08-29,,exact or source-provided date,2022-23,Manchester United,Antony,in,permanent,0.5,1,0.9675,0.01363,neutral,0.0234,positive,0.7854,Observed neutral abnormal return; heuristic says positive; 1 matched rumor/news rows.
38,2021-07-23,,exact or source-provided date,2021-22,Manchester United,Jadon Sancho,in,permanent,0.7337,1,0.686,0.012758,neutral,0.0233,positive,0.6587,Observed neutral abnormal return; heuristic says positive; 1 matched rumor/news rows.
39,2021-07-23,,exact or source-provided date,2021-22,Manchester United,Jadon Sancho,in,permanent,0.7337,1,0.686,0.012758,neutral,0.0233,positive,0.6587,Observed neutral abnormal return; heuristic says positive; 1 matched rumor/news rows.
40,2022-07-19,,exact or source-provided date,2022-23,Juventus,Bremer,in,permanent,0.6452,1,0.465,0.011952,neutral,0.007,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
41,2022-07-19,,exact or source-provided date,2022-23,Juventus,Bremer,in,permanent,0.6452,1,0.465,0.011952,neutral,0.007,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
42,2025-07-20,,exact or source-provided date,2025-26,Manchester United,Benjamin Sesko,in,permanent,0.7041,1,0.7575,0.011669,neutral,0.0251,positive,0.6909,Observed neutral abnormal return; heuristic says positive; 1 matched rumor/news rows.
43,2025-07-19,,exact or source-provided date,2025-26,Manchester United,Benjamin Sesko,in,permanent,0.7041,1,0.465,0.011669,neutral,0.0105,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
44,2022-01-13,,exact or source-provided date,2021-22,Juventus,Dušan Vlahović,in,permanent,0.6755,1,0.7575,0.010734,neutral,0.0234,positive,0.6909,Observed neutral abnormal return; heuristic says positive; 1 matched rumor/news rows.
45,2025-07-03,,exact or source-provided date,2025-26,Borussia Dortmund,Jamie Gittens,out,permanent,0.697,1,0.465,-0.00926,neutral,0.0059,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
46,2021-07-01,,proxy window date; not exact announcement date,2021-22,Manchester United,Jadon Sancho,in,permanent,0.7337,1,0.7575,0.007938,neutral,0.0269,positive,0.6909,Observed neutral abnormal return; heuristic says positive; 1 matched rumor/news rows.
47,2021-07-01,,proxy window date; not exact announcement date,2021-22,Manchester United,Jadon Sancho,in,permanent,0.7337,1,0.686,0.007938,neutral,0.0233,positive,0.6587,Observed neutral abnormal return; heuristic says positive; 1 matched rumor/news rows.
48,2021-07-01,,proxy window date; not exact announcement date,2021-22,Manchester United,Jadon Sancho,in,permanent,0.7337,1,0.465,0.007938,neutral,0.0123,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
49,2021-07-01,,proxy window date; not exact announcement date,2021-22,Manchester United,Jadon Sancho,in,permanent,0.7337,1,0.465,0.007938,neutral,0.0123,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
50,2023-07-28,,exact or source-provided date,2023-24,Manchester United,Rasmus Højlund,in,permanent,0.511,1,0.465,-0.007125,neutral,-0.0011,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
51,2022-08-26,,exact or source-provided date,2022-23,Manchester United,Antony,in,permanent,0.5,1,0.686,-0.006762,neutral,0.0093,neutral,0.6587,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
52,2023-06-15,,exact or source-provided date,2023-24,Borussia Dortmund,Jude Bellingham,out,permanent,0.6831,1,0.686,-0.004968,neutral,0.0164,neutral,0.6587,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
53,2023-06-15,,exact or source-provided date,2023-24,Borussia Dortmund,Jude Bellingham,out,permanent,0.6831,1,0.465,-0.004968,neutral,0.0054,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
54,2022-07-21,,exact or source-provided date,2022-23,Juventus,Bremer,in,permanent,0.6452,1,0.465,0.004755,neutral,0.007,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
55,2024-06-23,,exact or source-provided date,2024-25,Manchester United,Leny Yoro,in,permanent,0.571,1,0.675,0.004062,neutral,0.013,neutral,0.6538,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
56,2021-06-23,,exact or source-provided date,2021-22,Manchester United,Jadon Sancho,in,permanent,0.7337,1,0.7575,0.003992,neutral,0.0269,positive,0.6909,Observed neutral abnormal return; heuristic says positive; 1 matched rumor/news rows.
57,2021-07-02,,exact or source-provided date,2021-22,Manchester United,Jadon Sancho,in,permanent,0.7337,1,0.675,-0.003735,neutral,0.0228,positive,0.6538,Observed neutral abnormal return; heuristic says positive; 1 matched rumor/news rows.
58,2025-06-07,,exact or source-provided date,2025-26,Borussia Dortmund,Jamie Gittens,out,permanent,0.697,1,0.465,-0.00351,neutral,0.0059,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
59,2022-07-07,,exact or source-provided date,2022-23,Juventus,Matthijs de Ligt,out,permanent,0.6604,1,0.465,0.003451,neutral,0.0045,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
60,2023-07-05,,exact or source-provided date,2023-24,Manchester United,Mason Mount,in,permanent,0.7461,1,0.465,-0.003397,neutral,0.013,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
61,2023-07-04,,exact or source-provided date,2023-24,Manchester United,Mason Mount,in,permanent,0.7461,1,0.465,-0.003397,neutral,0.013,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
62,2023-07-05,,exact or source-provided date,2023-24,Manchester United,Mason Mount,in,permanent,0.7461,1,0.465,-0.003397,neutral,0.013,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
63,2021-07-01,,proxy window date; not exact announcement date,2021-22,Borussia Dortmund,Jadon Sancho,out,permanent,0.6362,1,0.7575,0.002631,neutral,0.0182,neutral,0.6909,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
64,2021-07-01,,proxy window date; not exact announcement date,2021-22,Borussia Dortmund,Jadon Sancho,out,permanent,0.6362,1,0.686,0.002631,neutral,0.0146,neutral,0.6587,Observed neutral abnormal return; heuristic says neutral; 1 matched rumor/news rows.
